1	7.29999956e-05
2	8.09999983e-05
3	8.2999999e-05
4	8.59999927e-05
5	0.000102999998
6	0.000131999986
7	0.000107
8	8.59999927e-05
9	0.000107999993
10	0.000106
11	9.49999958e-05
12	0.000106
13	0
14	0.000138999996
15	0.000188999998
16	0.000366999971
17	0.000305999973
18	0.000445999991
19	0.000680999947
20	0.00105999992
21	0.00202899985
22	0.00241599977
23	0.0078499997
24	0.00801799912
25	0.0103399996
26	0.0181899983
27	0.0286769997
28	0.0465419963
29	0.0750699937
30	0.121748999
31	0.197286993
32	0.320014983
33	0.503622949
34	0.831643999
35	1.61972189
36	2.48480892
37	3.97786593
38	5.87243176
39	10.2431746
40	15.6063585
41	25.7539825
42	40.5779686
43	65.700531
